config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw,eps_total,eps_sb,eps_wb0,C_T
de0dr0_extra,0,0,61,11.6453882635494,0,40.3656618390033,455824.422514804,123.01,1.60142631983677,1.22594230026408,0.057015099321783,-0.577275720583697,-0.0090045246879905,0.0084189390371979,0.0081563960825241,0.0014721333333333,0.274391949921936
de0dr0_extra,0,0,62,13.6992063212453,0,40.3134827942023,455157.48919312,123,1.59949256637317,1.33609126786067,0.0980880387738846,-0.70867184303602,-0.0125252153318912,0.0084149569983257,0.0081563960825241,0.0014721333333333,0.275306219487548
de0dr0_extra,0,0,63,13.6992063212453,0,40.6466250886804,455599.064928115,89.48,2.20138651993553,1.27281477197523,0.16375139551189,-0.635803047890169,0.0003746076587422,0.015496684736029,0.0081563960825241,0.0014721333333333,0.135517362836014
de0dr0_extra,0,0,64,11.6493882635494,0,40.5218802550713,455801.158367508,89.47,2.20276853254799,1.18004307310382,0.128940660439673,-0.520961392141332,0.0018573748959947,0.0118580336398881,0.0081563960825241,0.0014721333333333,0.12725602621365
de0dr0_extra,0,0,65,14.7238300022602,0,40.7325090976281,455413.725550496,89.47,2.20137946775433,1.32466528325416,0.184665216251463,-0.682186598488892,-0.0001369838932013,0.0177593731164908,0.0081563960825241,0.0014721333333333,0.144007353017658
de0dr0_extra,0,0,66,10.6246988464931,0,40.4231923992323,455277.384039538,89.47,2.20101688658087,1.13700665661675,0.113259311996639,-0.452327314452202,0.000888212840261,0.0101970436143188,0.0081563960825241,0.0014721333333333,0.123270723573948
de0dr0_extra,0,0,67,12.6694919387515,0,40.5435401135749,455101.835790068,89.47,2.20016820690768,1.22399864133964,0.145493573323677,-0.580182851325533,0.0010179898851638,0.0135954243602874,0.0081563960825241,0.0014721333333333,0.132236347981996
de0dr0,0,0,69,0.186495731148568,0,20.1794590662287,228043.758566692,61.52,1.60045873880817,0.222837367440165,-0.0216406135358739,-0.0187598287373736,0.0141855254933193,0.0086140364204018,0.0081563960825241,0.0016692222222222,0.212699156945089
de5dr0,5,0,70,0.183429686911376,0,40.3834537873604,456256.051408016,123,1.60225971122238,0.279654804836931,-0.036814117173795,-0.15949014208071,0.007242760231968,0.0084206528031811,0.0081563960825241,0.0014721333333333,0.248369425409839
dem5dr0,-5,0,71,0.194495731148568,0,20.1751595100175,227868.48680404,61.5,1.60063751481561,0.180417197612132,-0.0183171377879669,0.111647199812522,0.0136829892226291,0.0086144045281685,0.0081563960825241,0.0016692222222222,0.198240084190825
